Title_Author,ISBN
"('!%@ (A Nutshell handbook)', 'Donnalyn Frey')",1565920317
"(""'A Hell of a Place to Lose a Cow': An American Hitchhiking Odyssey"", 'Tim Brookes')",0792277295
"(""'Salem's Lot"", 'Stephen King')",0451168089
"('...And Now Miguel', 'Joseph Krumgold')",0690091184
"('10 Lb. Penalty', 'Dick Francis')",0515123471
"('10,000 Garden Questions Answered by 20 Experts', 'Marjorie J. Dietz')",051712226X
"('10,000 dreams interpreted: A dictionary of dreams', 'Gustavus Hindman Miller')",1566196256
"('100 Dastardly Little Detective Stories', 'Robert Weinberg')",1566199204
"('100 Ways to Motivate Yourself', 'Steve Chandler')",1564145190
"('1001 Things Everyone Should Know About the South', 'John Shelton Reed')",0385474423
"('101 Back to School Jokes', 'Lisa Eisenberg')",0590965379
"('101 Famous Poems', 'Roy J. Cook')",0809288346
"('101 Hopelessly Hilarious Jokes', 'Lisa Eisenberg')",0590436368
"('101 Pet Jokes', 'Phil Hirsch')",0590371177
"('101 President Jokes', 'Melvin Berger')",0590431668
"('101 Thanksgiving Knock-Knocks, Jokes, and Riddles', 'Suzanne Lord')",0590471635
"('1066: The Year of the Conquest', 'David Howarth')",0140058508
"('11 Harrowhouse', 'Gerald A. Browne')",0425105628
"('110%: 110 Strategies for Feeling Great Every Day', 'Pat Croce')",0762411554
"('14 Peck Slip', 'Ed Dee')",0446602388
"(""15 Houseplants Even You Can't Kill"", 'Joe Elder')",0425073696
"('15 Minutes of Peace With God', 'Emilie Barnes')",1565076257
"('158 POUND MARRIAGE', 'John Irving')",0671468111
"('1633', 'David Weber')",0743471555
"('1700: Scenes from London Life', 'Maureen Waller')",1568582161
"('1812', 'David Nevin')",0312855109
"('1876', 'Gore Vidal')",0394497503
"('18Mm Blues', 'Gerald A. Browne')",0446365777
"('1921 : The Great Novel of the Irish Civil War (Irish Century)', 'Morgan Llywelyn')",0812570790
"('1984', 'George Orwell')",0451524934
"('1984.', 'George Orwell')",3548234100
"('1988', 'Andrew McGahan')",1863739157
"('1st to Die: A Novel', 'James Patterson')",0446610038
"('20,000 Leagues Under the Sea', 'Jules Verne')",0812550927
"('2001 A Space Odyssey', 'Arthur C. Clarke')",0451452739
"('2001. Odyssee im Weltraum.', 'Arthur C. Clarke')",3453182618
"('2010: Odyssey Two', 'Arthur C. Clarke')",0345303067
"('2061: Odyssey Three', 'Arthur C. Clarke')",0345358791
"('2095 (Time Warp Trio)', 'Jon Scieszka')",0142400440
"('21 Sugar Street', 'Lynn Lauber')",0393034496
"('24 Hours', 'Greg Iles')",0451203593
"('24/7', 'Jim Brown')",0345446984
"('2ND COMING', 'Walker Percy')",0671451979
"('2nd Chance', 'James Patterson')",0446612790
"('30 Days to Experiencing Spiritual Breakthroughs', 'Bruce Wilkinson')",1576735818
"('30 Days to a More Powerful Vocabulary', 'Wilfred Funk')",067174349X
"('30 Seconds', 'Sam')",0446607703
"('3001: The Final Odyssey', 'Arthur C. Clarke')",0345423496
"('311 Pelican Court', 'Debbie Macomber')",1551667193
"('36 Views of Mount Fuji: On Finding Myself in Japan', 'Cathy N. Davidson')",0452272408
"('365 Ways to Cook Pasta', 'Marie Simmons')",0060158654
"('3rd Degree', 'James Patterson')",0316603570
"('4 Guys and Trouble', 'Marcus Major')",0525945687
"('44', 'Peter Sheridan')",0333750322
"('500 Nations: An Illustrated History of North American Indians', 'Alvin M. Josephy')",0679429301
"('500 Terrific Ideas for Organizing Everything', 'Sheree Bykofsky')",0883659948
"('666', 'Jay Anson')",0671831267
"('69 Things to Do with a Dead Princess', 'Stewart Home')",184195182X
"('7 Steps to Midnight', 'Richard Matheson')",0312854099
"('7 Tattoos: A Memoir in the Flesh', 'Peter Trachtenberg')",0517701723
"('79 PARK AVENUE', 'Harold Robbins')",0671874969
"('8 Million Ways to Die', 'Lawrence Block')",0515088404
"('8 Steps to a Healthy Heart: The Complete Guide to Heart Disease Prevention and Recovery from Heart Attack and Bypass Surgery', 'Robert E. Kowalski')",0446394580
"('8.4', 'Peter Hernon')",0515127132
"(""800 Years of Women's Letters"", 'Olga Kenyon')",014023389X
"('84 Charing Cross Road', 'Helene Hanff')",0860074382
"('84, Charing Cross Road', 'Helene Hanff')",1559211407
"('9 Scorpions', 'Paul Levine')",0671019406
"('95 Poems', 'E. E. Cummings')",0156659506
"('999: New Stories of Horror and Suspense', 'Al Sarrantonio')",0380977400
"('@expectations', 'Kit Reed')",0765301814
"('A B C MURDERS', 'Agatha Christie')",0671464779
"('A Baby Sister for Frances', 'Russell Hoban')",0590318977
"('A Bear Called Paddington', 'Michael Bond')",0440404835
"('A Bend in the Road', 'Nicholas Sparks')",0446611867
"('A Big Storm Knocked It over: A Novel', 'Laurie Colwin')",0060170190
"('A Blessing on the Moon', 'Joseph Skibell')",0425167135
"('A Body to Die For', 'Kate White')",0446531480
"('A Book for Couples', 'Hugh Prather')",0385187858
"(""A Border Passage: From Cairo to America-A Woman's Journey"", 'Leila Ahmed')",0374115184
"('A Box of Rain', 'Robert Hunter')",0670834122
"(""A Boy's Own Story"", 'Edmund White')",0452273005
"('A Breach in the Watershed (Watershed Trilogy, Book 1)', 'Douglas Niles')",0441003494
"('A Breath of Fresh Air', 'Erica James')",0752843397
"('A Brief History of Everything', 'KEN WILBER')",157062187X
"('A Bright Room Called Day', 'Tony Kushner')",155936078X
"('A Bright Shining Lie: John Paul Vann and America in Vietnam', 'Neil Sheehan')",0394484479
"(""A Brother's Blood: A Novel"", 'Michael C. White')",006092859X
"('A Calculated Risk', 'Katherine Neville')",0345386825
"('A Caribbean Mystery', 'Agatha Christie')",0671555235
"('A Case of Curiosities', 'Allen Kurzweil')",0156012898
"('A Case of Lone Star', 'Kinky Friedman')",0425111857
"('A Case of Need', 'Michael Crichton')",0451183665
"('A Cast of Killers', 'Sidney Kirkpatrick')",0451174186
"('A Cat', 'Leonard Michaels')",1573225665
"('A Cat Abroad: The Further Adventures of Norton, the Cat Who Went to Paris, and His Human', 'Peter Gethers')",0449909522
"('A Celebration of American Family Folklore: Tales and Traditions from the Smithsonian Collection', 'Steven J. Zeitlin')",0394520955
"('A Century of Progress', 'Fred Saberhagen')",0812553411
"('A Certain Justice: A Novel', 'John T. Lescroart')",0440221048
"('A Certain Slant of Light', 'Cynthia Thayer')",0312275641
"('A Certain Smile', 'Judith Michael')",0449224260
"('A Chainless Soul: A Life of Emily Bronte', 'Katherine Frank')",0449906612
"('A Child Called \\It\\"": One Child\'s Courage to Survive""', 'Dave Pelzer')",1558743669
"('A Child Is Born', 'Lennart Nilsson')",0440506913
"(""A Child's Christmas in Wales"", 'Dylan Thomas')",0811213080
"('A Childhood: The Biography of a Place', 'Harry Crews')",0820317594
"('A Chorus of Stones: The Private Life of War', 'Susan Griffin')",0385418574
"('A Christmas Carol', 'Charles Dickens')",0671455990
"('A Cinderella Affidavit', 'Michael Fredrickson')",0812580133
"('A Clash of Kings (A Song of Ice and Fire, Book 2)', 'GEORGE R.R. MARTIN')",0553108034
"('A Clear Conscience (Helen West Mystery)', 'Frances Fyfield')",0140282513
"('A Client Called Noah: A Family Journey Continued', 'Josh Greenfeld')",0805000852
"('A Clockwork Orange', 'Anthony Burgess')",345316413X
"('A Clockwork Orange', 'Burgess')",0345256328
"('A Closed Book', 'Gilbert Adair')",0571203809
"('A Clue from the Grave', 'Irene Pence')",0786004096
"('A Coffin for Dimitrios', 'Eric Ambler')",0786703644
"('A Cold Case', 'Philip Gourevitch')",0312420021
"('A Cold Day for Murder', 'Dana Stabenow')",042513301X
"('A Cold Red Sunrise: An Inspector Porfiry Rostnikov Mystery', 'Stuart M. Kaminsky')",080410428X
"('A Colder Kind of Death', 'GAIL BOWEN')",077101483X
"('A Collection of Beauties at the Height of Their Popularity: A Novel', 'Whitney Otto')",0812966813
"('A College of Magics', 'Caroline Stevermer')",0765342456
"('A Common Life : The Wedding Story (The Mitford Years)', 'Jan Karon')",0670894370
"('A Concise History of Italy (Cambridge Concise Histories)', 'Christopher Duggan')",0521402859
"('A Confederacy of Dunces', 'John Kennedy Toole')",0517122707
"(""A Connecticut Yankee in King Arthur's Court"", 'Mark Twain')",0812504364
"(""A Cook's Tour"", 'Anthony Bourdain')",1582341400
"('A Cottage in Portugal', 'Richard Hewitt')",1574900684
"('A Country Far Away', 'Nigel Gray')",0833550578
"('A Country Year: Living the Questions', 'Sue Hubbell')",0060970863
"('A Country of Old Men: The Last Dave Brandstetter Mystery', 'Joseph Hansen')",0670838268
"('A Country of Strangers: Blacks and Whites in America', 'David K. Shipler')",0394589750
"('A Crossword to Die for', 'Nero Blanc')",0425190757
"('A Crowded Heart', 'Nicholas Papandreou')",0312204000
"('A Cure for Gravity', 'Arthur Rosenfeld')",0812565665
"('A Dance Through Time (Time Passages Romance)', 'Lynn Kurland')",051511927X
"('A Dangerous Fortune', 'Ken Follett')",0440217490
"('A Dangerous Friend', 'Ward Just')",0395856981
"('A Dangerous Woman', 'Mary McGarry Morris')",0140272119
"('A Dark Adapted Eye', 'Barbara Vine')",0553264982
"('A Darker Justice', 'Sallie Bissell')",0553582712
"('A Darker Place', 'Laurie R. King')",0553578243
"('A Darkness More Than Night', 'Michael Connelly')",0446667900
"(""A Daughter's Promise"", 'Julie Ellis')",0821728067
"('A Day Late and a Dollar Short', 'Terry McMillan')",0451204948
"('A Day at the Beach: Recollections', 'Geoffrey Wolff')",0679744495
"('A De Adulterio', 'Sue Grafton')",8472231445
"('A Dead Man Out of Mind', 'Kate Charles')",0446404322
"('A Deadly Game of Magic', 'Joan Lowery Nixon')",0440921023
"('A Death in the Life', 'Dorothy Salisbury Davis')",0380017474
"('A Delusion of Satan: The Full Story of the Salem Witch Trials', 'Frances Hill')",0306811596
"('A Density of Souls', 'Christopher Rice')",0786886463
"('A Different Kind of Christmas', 'Alex Haley')",0385260431
"('A Different Light', 'Elizabeth Lynn')",0441007902
"('A Dime to Dance by', 'Walter Walker')",0060151455
"('A Dirty Distant War', 'E.M. Nathanson')",0425121275
"('A Dog Is Listening: The Way Some of Our Closest Friends View Us', 'Roger A. Caras')",1578660173
"('A Dog Year: Twelve Months, Four Dogs, and Me', 'Jon Katz')",0375502971
"(""A Dog's Life"", 'Peter Mayle')",0679762671
"(""A Dog's Ransom"", 'Patricia Highsmith')",0393323366
"('A Door Near Here', 'Heather Quarles')",0440227615
"(""A Dragon-Lover's Treasury of the Fantastic"", 'Margaret Weis')",0446670634
"('A Dream is a Wish Your Heart Makes : My Story', 'Annette Funicello')",0786880929
"('A Dream of Eagles', 'Jack Whyte')",0140170502
"('A Dry Spell', 'Susie Moloney')",0440223458
"('A Dubious Legacy', 'Mary Wesley')",0670846724
"('A Faint Cold Fear', 'Robert Daley')",0446362190
"('A Fall in Denver: An Em Hansen Mystery', 'Sarah Andrews')",0451187938
"('A Fall of Moondust', 'Arthur C. Clarke')",0575602902
"('A Far Cry from Kensington', 'Muriel Spark')",0380707861
"('A Farewell to France', 'Noel Barber')",0380680645
"('A Fatal Inversion', 'Barbara Vine')",0553272497
"(""A Father's Story"", 'Lionel Dahmer')",068812156X
"('A Feather on the Breath of God: A Novel', 'Sigrid Nunez')",0060926848
"('A Few Corrections', 'Brad Leithauser')",0375411496
"('A Few Short Notes on Tropical Butterflies : Stories', 'John Murray')",0060509287
"('A Field Full of Horses (Read and Wonder)', 'Peter Hansard')",1564025276
"('A Field Guide to Irish Fairies', 'Bob Curran')",0811822761
"('A Field Guide to the Birds: Of Eastern and Central North America', 'Roger Tory Peterson')",039526619X
"('A Fine Balance', 'Rohinton Mistry')",140003065X
"('A Fine and Pleasant Misery', 'Patrick McManus')",0030591724
"('A Fire in the Mind: The Life of Joseph Campbell', 'Stephen Larsen')",0385266359
"('A Firing Offense', 'David Ignatius')",0679448608
"('A Fistful of Sky', 'Nina Kiriki Hoffman')",0441011772
"('A Five-Year Plan', 'Philip Kerr')",067102471X
"('A Flash of Red', 'Clay Harvey')",0425159345
"('A Free Woman', 'Libby Purves')",0340793899
"('A Friend of the Earth', 'T. Coraghessan Boyle')",0670891770
"('A Friend of the Family', 'Lisa Jewell')",0525947345
"('A GATHERING OF SAINTS', 'Christopher Hyde')",0671875817
"('A Game for Heroes', 'Jack Higgins')",0425183041
"('A Game of Spies', 'John Altman')",0515134635
